연도,가맹점광역시도,소비영역,VLM,지역전체소비,전국영역소비,전국전체소비,지역비중,전국비중,LQ,엔트로피기여도,엔트로피,EQ
2025,부산,음식,6977114503172.0,20262191542355.0,142466028322281.0,636613639290625.0,0.34434,0.22379,1.539,0.36710973649682643,1.0535,0.6546
2025,부산,공연/전시,183784104107.0,20262191542355.0,4549638109282.0,636613639290625.0,0.00907,0.00715,1.269,0.04265424194473568,1.0535,0.6546
2025,부산,레저활동,1971741362043.0,20262191542355.0,54342708662498.0,636613639290625.0,0.09731,0.08536,1.14,0.22671804604562518,1.0535,0.6546
2025,부산,관광/쇼핑,10711760997113.0,20262191542355.0,429750556654214.0,636613639290625.0,0.52866,0.67506,0.783,0.33697305211431205,1.0535,0.6546
2025,서울,관광/쇼핑,248140668057381.0,312607047994629.0,429750556654214.0,636613639290625.0,0.79378,0.67506,1.176,0.18332264500028453,0.6853,0.4258
2025,서울,공연/전시,1841527941471.0,312607047994629.0,4549638109282.0,636613639290625.0,0.00589,0.00715,0.824,0.030242200766966803,0.6853,0.4258
2025,서울,레저활동,20932878817482.0,312607047994629.0,54342708662498.0,636613639290625.0,0.06696,0.08536,0.784,0.18103706374354941,0.6853,0.4258
2025,서울,숙박,1624942447063.0,312607047994629.0,5504707542350.0,636613639290625.0,0.0052,0.00865,0.601,0.027347302597652726,0.6853,0.4258
2025,서울,음식,40067030731232.0,312607047994629.0,142466028322281.0,636613639290625.0,0.12817,0.22379,0.573,0.26331216233988264,0.6853,0.4258
2025,세종,레저활동,406166904659.0,1860607193255.0,54342708662498.0,636613639290625.0,0.2183,0.08536,2.557,0.33222749886754793,1.1489,0.7138
2025,세종,음식,799388855860.0,1860607193255.0,142466028322281.0,636613639290625.0,0.42964,0.22379,1.92,0.3629631502615942,1.1489,0.7138
2025,세종,공연/전시,21950396776.0,1860607193255.0,4549638109282.0,636613639290625.0,0.0118,0.00715,1.651,0.052387937820624106,1.1489,0.7138
2025,세종,숙박,13208246380.0,1860607193255.0,5504707542350.0,636613639290625.0,0.0071,0.00865,0.821,0.03512838951403756,1.1489,0.7138
2025,세종,관광/쇼핑,619892789580.0,1860607193255.0,429750556654214.0,636613639290625.0,0.33317,0.67506,0.494,0.3661879495256831,1.1489,0.7138
2025,울산,음식,2498926381560.0,5427507998047.0,142466028322281.0,636613639290625.0,0.46042,0.22379,2.057,0.3571091935803262,1.0849,0.6741
2025,울산,레저활동,711708574775.0,5427507998047.0,54342708662498.0,636613639290625.0,0.13113,0.08536,1.536,0.2663992602590704,1.0849,0.6741
2025,울산,숙박,64452056656.0,5427507998047.0,5504707542350.0,636613639290625.0,0.01188,0.00865,1.373,0.052662839704765936,1.0849,0.6741
2025,울산,공연/전시,47455647679.0,5427507998047.0,4549638109282.0,636613639290625.0,0.00874,0.00715,1.223,0.041426246080610414,1.0849,0.6741
2025,울산,관광/쇼핑,2104965337377.0,5427507998047.0,429750556654214.0,636613639290625.0,0.38783,0.67506,0.575,0.36734799173383964,1.0849,0.6741
2025,인천,음식,8439462324490.0,20275470032469.0,142466028322281.0,636613639290625.0,0.41624,0.22379,1.86,0.36483155537491707,1.0969,0.6815
2025,인천,숙박,312314098462.0,20275470032469.0,5504707542350.0,636613639290625.0,0.0154,0.00865,1.781,0.06427017165126332,1.0969,0.6815
2025,인천,레저활동,2598088071854.0,20275470032469.0,54342708662498.0,636613639290625.0,0.12814,0.08536,1.501,0.26328052689550946,1.0969,0.6815
2025,인천,공연/전시,179384118814.0,20275470032469.0,4549638109282.0,636613639290625.0,0.00885,0.00715,1.238,0.04183693970666635,1.0969,0.6815
2025,인천,관광/쇼핑,8746221418849.0,20275470032469.0,429750556654214.0,636613639290625.0,0.43137,0.67506,0.639,0.3626911890951923,1.0969,0.6815
2025,전남,숙박,162620070015.0,7950397664947.0,5504707542350.0,636613639290625.0,0.02045,0.00865,2.366,0.07954584550828853,1.0792,0.6706
2025,전남,음식,3714902263233.0,7950397664947.0,142466028322281.0,636613639290625.0,0.46726,0.22379,2.088,0.3555238503553788,1.0792,0.6706
2025,전남,공연/전시,74244110798.0,7950397664947.0,4549638109282.0,636613639290625.0,0.00934,0.00715,1.307,0.04365001390976454,1.0792,0.6706
2025,전남,레저활동,818085449579.0,7950397664947.0,54342708662498.0,636613639290625.0,0.1029,0.08536,1.205,0.23399435675902552,1.0792,0.6706
2025,전남,관광/쇼핑,3180545771322.0,7950397664947.0,429750556654214.0,636613639290625.0,0.40005,0.67506,0.593,0.3665121041613859,1.0792,0.6706
2025,전북,숙박,135189951204.0,7180995035744.0,5504707542350.0,636613639290625.0,0.01883,0.00865,2.177,0.07479848312077522,1.0818,0.6721
2025,전북,음식,3234365241945.0,7180995035744.0,142466028322281.0,636613639290625.0,0.45041,0.22379,2.013,0.359245664732368,1.0818,0.6721
2025,전북,공연/전시,73329254136.0,7180995035744.0,4549638109282.0,636613639290625.0,0.01021,0.00715,1.429,0.046806597873884796,1.0818,0.6721
2025,전북,레저활동,750664874437.0,7180995035744.0,54342708662498.0,636613639290625.0,0.10453,0.08536,1.225,0.2360581304322441,1.0818,0.6721
2025,전북,관광/쇼핑,2987445714022.0,7180995035744.0,429750556654214.0,636613639290625.0,0.41602,0.67506,0.616,0.3648586687074964,1.0818,0.6721
2025,제주,숙박,476724949283.0,6810372176003.0,5504707542350.0,636613639290625.0,0.07,0.00865,8.095,0.18614820258529446,1.1847,0.7361
2025,제주,음식,2773306668109.0,6810372176003.0,142466028322281.0,636613639290625.0,0.40722,0.22379,1.82,0.3658471398824234,1.1847,0.7361
2025,제주,공연/전시,67351822400.0,6810372176003.0,4549638109282.0,636613639290625.0,0.00989,0.00715,1.384,0.045654525908806934,1.1847,0.7361
2025,제주,레저활동,641310557284.0,6810372176003.0,54342708662498.0,636613639290625.0,0.09417,0.08536,1.103,0.22249109134456377,1.1847,0.7361
2025,제주,관광/쇼핑,2851678178927.0,6810372176003.0,429750556654214.0,636613639290625.0,0.41873,0.67506,0.62,0.36451659065766157,1.1847,0.7361
2025,충남,숙박,209898873314.0,10685534199182.0,5504707542350.0,636613639290625.0,0.01964,0.00865,2.272,0.07718887220973625,1.0782,0.6699
2025,충남,음식,4936091132122.0,10685534199182.0,142466028322281.0,636613639290625.0,0.46194,0.22379,2.064,0.35676562389043737,1.0782,0.6699
2025,충남,공연/전시,99961339442.0,10685534199182.0,4549638109282.0,636613639290625.0,0.00935,0.00715,1.309,0.04368674304862241,1.0782,0.6699
2025,충남,레저활동,1103986762875.0,10685534199182.0,54342708662498.0,636613639290625.0,0.10332,0.08536,1.21,0.23452857978715466,1.0782,0.6699
2025,충남,관광/쇼핑,4335596091429.0,10685534199182.0,429750556654214.0,636613639290625.0,0.40574,0.67506,0.601,0.36599481264839684,1.0782,0.6699
2025,충북,음식,5201348244750.0,11712891918315.0,142466028322281.0,636613639290625.0,0.44407,0.22379,1.984,0.36048406778059144,1.0907,0.6777
2025,충북,레저활동,1538828642340.0,11712891918315.0,54342708662498.0,636613639290625.0,0.13138,0.08536,1.539,0.2666569136176099,1.0907,0.6777
2025,충북,숙박,153158375444.0,11712891918315.0,5504707542350.0,636613639290625.0,0.01308,0.00865,1.512,0.056723655803026345,1.0907,0.6777
2025,충북,공연/전시,99649131357.0,11712891918315.0,4549638109282.0,636613639290625.0,0.00851,0.00715,1.19,0.04056302849273723,1.0907,0.6777
2025,충북,관광/쇼핑,4719907524424.0,11712891918315.0,429750556654214.0,636613639290625.0,0.40297,0.67506,0.597,0.3662566772871239,1.0907,0.6777
