,가맹시,가맹구,음식,관광/쇼핑,레저활동,공연/전시,숙박,엔트로피,엔트로피극대화지수
166,전남,강진군,2.17,0.642,12.027,0.0,0.626,1.2452,0.7737
167,전남,고흥군,2.026,0.878,0.507,0.0,0.559,1.0297,0.6398
168,전남,곡성군,2.277,0.432,46.617,0.0,0.064,1.1398,0.7082
169,전남,광양시,1.559,0.339,0.787,0.348,1.927,1.0368,0.6442
170,전남,구례군,1.048,0.19,0.108,0.0,2.583,0.8029,0.4989
171,전남,나주시,2.604,0.789,6.567,0.039,0.185,1.0098,0.6274
172,전남,담양군,3.922,0.392,4.715,0.0,0.12,0.7869,0.4889
173,전남,목포시,1.204,1.091,0.151,0.0,0.707,0.973,0.6045
174,전남,무안군,0.797,1.491,5.215,0.0,0.066,0.6569,0.4082
175,전남,보성군,2.167,0.848,3.379,0.0,0.448,1.0715,0.6657
176,전남,순천시,2.209,0.781,2.876,0.0,0.563,1.0975,0.6819
177,전남,신안군,0.639,0.248,0.297,0.0,2.742,0.7506,0.4664
178,전남,여수시,2.186,0.233,0.904,0.0,1.707,1.0144,0.6303
179,전남,영광군,2.068,0.807,1.333,0.0,0.649,1.0808,0.6715
180,전남,영암군,0.722,0.312,3.25,0.0,2.483,0.9183,0.5706
181,전남,완도군,1.728,0.485,0.039,0.0,1.546,1.0809,0.6716
182,전남,장성군,2.589,0.475,36.27,0.0,0.038,1.0978,0.6821
183,전남,장흥군,1.169,1.234,14.309,0.0,0.082,0.9221,0.573
184,전남,진도군,1.813,0.457,0.146,0.0,1.539,1.0824,0.6725
185,전남,함평군,2.141,0.593,39.845,0.0,0.017,1.1137,0.692
186,전남,해남군,1.435,0.463,56.863,0.0,0.308,1.2718,0.7902
187,전남,화순군,2.231,0.685,28.439,0.0,0.072,1.1335,0.7043
188,전북,고창군,1.993,0.799,17.661,0.0,0.29,1.1921,0.7407
189,전북,군산시,1.987,0.812,1.266,0.061,0.695,1.0879,0.6759
190,전북,김제시,2.527,0.792,5.595,0.1,0.257,1.0344,0.6427
191,전북,남원시,0.593,0.327,0.101,0.0,2.623,0.7923,0.4923
192,전북,무주군,1.559,0.458,0.969,0.238,1.687,1.0958,0.6809
193,전북,부안군,2.59,0.675,0.449,0.0,0.578,1.0302,0.6401
194,전북,순창군,2.048,0.826,10.926,0.0,0.374,1.1597,0.7206
195,전북,완주군,2.651,0.659,0.136,0.004,0.576,1.0147,0.6304
196,전북,익산시,1.299,0.716,2.127,0.098,1.328,1.1417,0.7093
197,전북,임실군,2.781,0.739,12.586,0.0,0.007,0.9363,0.5817
198,전북,장수군,2.086,0.717,31.641,0.0,0.024,1.1028,0.6852
199,전북,전주시,1.839,0.617,0.376,0.023,1.202,1.1142,0.6923
200,전북,정읍시,1.976,0.935,7.629,0.0,0.297,1.0757,0.6684
201,전북,진안군,0.495,1.691,0.442,0.0,0.001,0.3302,0.2051
202,제주,서귀포시,1.152,0.241,8.729,9.146,2.169,1.1025,0.685
203,제주,제주시,1.757,0.846,2.637,0.0,0.748,1.1226,0.6975
204,충남,계룡시,2.527,0.431,15.277,0.0,0.712,1.2532,0.7787
205,충남,공주시,2.533,0.804,2.068,0.0,0.321,0.9933,0.6172
206,충남,금산군,1.962,1.061,4.952,0.0,0.127,0.9235,0.5738
207,충남,논산시,2.495,0.816,2.181,1.535,0.316,1.0005,0.6216
208,충남,당진시,1.462,0.516,2.866,0.0,1.59,1.1505,0.7148
209,충남,보령시,1.55,0.455,1.573,0.0,1.684,1.1096,0.6894
210,충남,부여군,0.415,0.483,1.568,0.0,2.398,0.8745,0.5433
211,충남,서산시,1.173,0.451,0.521,0.0,1.975,1.0285,0.6391
212,충남,서천군,2.493,0.869,1.632,0.0,0.231,0.9388,0.5833
213,충남,아산시,1.725,0.962,2.705,0.005,0.542,1.0647,0.6615
214,충남,예산군,2.572,0.7,0.96,0.0,0.526,1.034,0.6425
215,충남,천안시,1.756,0.809,0.924,0.183,0.867,1.1024,0.6849
216,충남,청양군,1.771,1.239,0.0,0.0,0.037,0.6845,0.4253
217,충남,태안군,1.437,0.421,10.693,0.0,1.591,1.2457,0.774
218,충남,홍성군,2.432,0.824,0.283,0.749,0.395,0.9762,0.6066
219,충북,괴산군,3.372,0.59,0.36,0.0,0.217,0.8418,0.523
220,충북,단양군,2.861,0.585,9.382,0.0,0.338,1.1006,0.6839
221,충북,보은군,1.724,0.433,54.41,0.0,0.235,1.2466,0.7745
222,충북,영동군,1.947,0.821,2.206,0.0,0.68,1.1066,0.6875
223,충북,옥천군,3.269,0.686,0.128,0.0,0.104,0.7799,0.4846
224,충북,음성군,1.778,0.571,17.916,0.0,0.877,1.3322,0.8278
225,충북,제천시,2.343,0.674,0.79,0.004,0.738,1.082,0.6723
226,충북,증평군,1.371,0.735,24.747,0.0,0.653,1.3275,0.8248
227,충북,진천군,0.5,1.46,6.358,0.0,0.297,0.7563,0.4699
228,충북,청주시,1.89,0.732,0.747,0.002,0.931,1.1103,0.6899
229,충북,충주시,1.8,0.638,5.832,0.0,1.045,1.2225,0.7596
