,가맹시,가맹구,음식,관광/쇼핑,레저활동,공연/전시,숙박,엔트로피,엔트로피극대화지수
0,강원,강릉시,1.18,0.226,1.091,1.374,2.297,0.9039,0.5616
1,강원,고성군,0.501,0.092,13.835,0.0,2.565,0.8438,0.5243
2,강원,동해시,1.484,0.693,0.125,0.0,1.291,1.0946,0.6801
3,강원,삼척시,1.842,0.337,2.112,0.0,1.659,1.0998,0.6834
4,강원,속초시,0.76,0.169,0.383,0.002,2.684,0.7037,0.4373
5,강원,양구군,2.626,0.636,0.125,0.0,0.692,1.0514,0.6533
6,강원,양양군,0.714,0.158,14.155,0.0,2.304,1.0025,0.6229
7,강원,영월군,1.988,0.709,0.879,0.0,0.927,1.1262,0.6997
8,강원,원주시,1.386,0.484,1.37,0.093,1.694,1.0976,0.682
9,강원,인제군,2.429,1.006,0.414,0.0,0.129,0.8428,0.5237
10,강원,정선군,0.267,0.044,0.258,0.0,3.219,0.3157,0.1962
11,강원,철원군,2.592,0.577,11.682,0.0,0.462,1.2237,0.7603
12,강원,춘천시,1.601,0.734,30.026,0.0,0.215,1.2502,0.7768
13,강원,태백시,2.143,0.887,6.261,0.0,0.341,1.113,0.6916
14,강원,평창군,0.49,0.111,1.911,0.0,2.908,0.5964,0.3706
15,강원,홍천군,0.25,0.108,98.692,0.0,0.053,0.4733,0.2941
16,강원,화천군,2.629,0.937,0.66,0.0,0.126,0.8552,0.5314
17,강원,횡성군,1.631,0.553,15.891,0.0,0.966,1.3513,0.8396
18,경기,가평군,2.442,0.555,11.604,0.0,0.596,1.2597,0.7827
19,경기,고양시,0.949,1.431,1.72,0.0,0.224,0.7556,0.4695
20,경기,과천시,2.011,0.541,39.929,0.0,0.006,1.1042,0.6861
21,경기,광명시,3.528,0.293,0.795,0.002,0.742,0.9467,0.5882
22,경기,광주시,2.217,0.578,30.525,0.0,0.106,1.1897,0.7392
23,경기,구리시,3.18,0.789,0.324,0.0,0.067,0.7818,0.4857
24,경기,군포시,1.667,0.689,4.265,0.0,1.056,1.2148,0.7548
25,경기,김포시,0.441,1.524,0.439,0.222,0.407,0.6511,0.4045
26,경기,남양주시,1.524,1.273,4.458,0.628,0.073,0.8355,0.5191
27,경기,동두천시,1.793,1.245,0.605,0.081,0.08,0.7581,0.4711
28,경기,부천시,0.856,1.56,0.197,0.012,0.094,0.5583,0.3469
29,경기,성남시,1.0,0.419,0.471,0.111,2.078,0.9705,0.603
30,경기,수원시,1.183,0.661,0.361,0.012,1.527,1.0747,0.6678
31,경기,시흥시,2.609,0.467,8.38,0.002,0.753,1.2274,0.7626
32,경기,안산시,2.215,1.048,2.261,0.056,0.128,0.8965,0.557
33,경기,안성시,0.713,1.471,6.92,0.0,0.136,0.7601,0.4723
34,경기,안양시,1.421,0.723,0.291,0.058,1.269,1.0987,0.6826
35,경기,양주시,1.757,1.108,8.766,0.171,0.098,0.9793,0.6085
36,경기,양평군,1.543,0.824,7.999,0.0,0.771,1.24,0.7704
37,경기,여주시,0.813,0.661,49.259,0.0,0.234,1.1893,0.7389
38,경기,연천군,1.041,1.288,12.834,0.0,0.084,0.9152,0.5686
39,경기,오산시,1.755,0.9,0.517,0.302,0.734,1.0722,0.6662
40,경기,용인시,1.204,0.884,30.737,0.0,0.162,1.1841,0.7357
41,경기,의왕시,0.497,1.636,0.1,0.016,0.18,0.5044,0.3134
42,경기,의정부시,1.748,1.222,0.597,0.033,0.149,0.8107,0.5037
43,경기,이천시,1.273,0.402,16.726,0.0,1.435,1.3139,0.8164
44,경기,파주시,1.011,1.405,2.415,0.004,0.211,0.7855,0.4881
45,경기,평택시,2.831,0.806,0.363,0.18,0.248,0.9178,0.5702
46,경기,포천시,1.674,0.936,18.607,0.07,0.157,1.1484,0.7135
47,경기,하남시,1.293,1.421,1.193,0.0,0.048,0.664,0.4126
48,경기,화성시,1.514,0.345,1.995,0.111,1.849,1.0706,0.6652
49,경남,거제시,2.458,0.567,1.418,1.428,0.878,1.1314,0.703
50,경남,거창군,2.402,0.748,12.552,0.0,0.24,1.1611,0.7214
51,경남,고성군,2.051,0.667,23.663,0.0,0.257,1.2567,0.7808
52,경남,김해시,1.012,1.074,4.079,0.02,0.763,1.085,0.6742
53,경남,남해군,0.961,0.572,55.554,0.0,0.111,1.12,0.6959
54,경남,밀양시,1.882,0.536,9.338,0.0,1.046,1.2921,0.8028
55,경남,사천시,1.928,0.55,2.224,8.987,1.197,1.1964,0.7434
56,경남,산청군,2.451,0.86,5.185,0.0,0.233,1.0451,0.6494
57,경남,양산시,1.74,0.909,7.987,0.059,0.495,1.1823,0.7346
58,경남,의령군,1.845,0.609,0.59,0.0,1.207,1.1252,0.6991
59,경남,진주시,1.328,0.833,0.745,0.0,1.113,1.1003,0.6837
60,경남,창녕군,1.46,0.531,15.135,0.0,1.134,1.3423,0.834
61,경남,창원시,1.4,0.697,0.472,0.056,1.324,1.1048,0.6864
62,경남,통영시,0.806,0.299,1.342,0.0,2.389,0.879,0.5461
63,경남,하동군,1.077,0.316,0.988,0.0,2.202,0.9449,0.5871
64,경남,함안군,2.746,0.611,2.765,0.0,0.582,1.1063,0.6874
65,경남,함양군,1.999,0.77,0.885,0.0,0.81,1.1116,0.6907
66,경남,합천군,2.244,0.682,19.889,0.0,0.229,1.221,0.7587
67,경북,경산시,2.852,0.883,1.115,0.058,0.071,0.8273,0.5141
68,경북,경주시,1.336,0.181,16.479,0.0,1.808,1.1868,0.7374
69,경북,고령군,2.108,0.9,16.832,0.0,0.01,1.0241,0.6363
70,경북,구미시,1.478,1.032,0.779,0.039,0.656,1.0325,0.6415
71,경북,김천시,2.236,0.4,3.096,0.0,1.269,1.162,0.722
72,경북,문경시,1.031,0.237,1.583,0.0,2.355,0.8937,0.5553
73,경북,봉화군,2.766,0.866,0.076,0.0,0.189,0.8713,0.5413
74,경북,상주시,2.331,1.011,2.928,0.0,0.103,0.9012,0.56
75,경북,성주군,2.068,1.048,0.05,0.0,0.287,0.9059,0.5629
76,경북,안동시,2.636,0.55,4.971,0.0,0.692,1.1743,0.7296
77,경북,영덕군,2.349,0.72,6.159,0.0,0.522,1.1773,0.7315
78,경북,영양군,3.691,0.507,0.284,0.0,0.268,0.8428,0.5237
79,경북,영주시,1.337,1.041,0.115,0.0,0.747,1.0089,0.6268
80,경북,영천시,0.982,1.131,20.572,0.0,0.165,1.07,0.6649
81,경북,예천군,2.747,0.654,15.506,0.0,0.106,1.0984,0.6825
82,경북,울릉군,2.497,0.736,2.586,0.0,0.514,1.0982,0.6823
83,경북,울진군,2.112,0.42,6.749,0.0,1.197,1.2379,0.7691
84,경북,의성군,2.347,0.467,32.477,0.0,0.166,1.2142,0.7544
85,경북,청도군,2.327,0.355,41.785,0.0,0.093,1.1434,0.7104
86,경북,청송군,2.284,0.654,0.524,0.0,0.858,1.1038,0.6858
87,경북,칠곡군,2.167,0.994,0.937,0.0,0.297,0.9572,0.5947
88,경북,포항시,2.005,0.772,1.272,0.164,0.791,1.1225,0.6975
89,광주,광산구,2.44,0.856,0.397,0.011,0.396,0.9897,0.6149
90,광주,남구,2.499,1.031,0.461,0.37,0.04,0.7688,0.4777
91,광주,동구,2.595,0.881,0.148,0.0,0.264,0.9184,0.5706
92,광주,북구,2.956,0.808,0.706,0.0,0.157,0.8746,0.5434
93,광주,서구,1.197,0.853,0.162,0.0,1.175,1.0647,0.6615
94,대구,군위군,3.166,0.305,31.072,0.0,0.002,0.978,0.6077
