,가맹시,가맹구,음식,관광/쇼핑,레저활동,공연/전시,숙박,엔트로피,엔트로피극대화지수
95,대구,남구,3.447,0.608,3.03,0.0,0.149,0.8985,0.5583
96,대구,달서구,1.918,0.87,0.58,1.979,0.684,1.0791,0.6705
97,대구,달성군,1.82,0.448,0.98,0.012,1.504,1.1096,0.6894
98,대구,동구,0.813,0.542,0.415,0.0,1.97,0.9792,0.6084
99,대구,북구,2.16,0.986,0.513,0.0,0.328,0.9559,0.594
100,대구,서구,1.392,1.323,0.927,0.0,0.175,0.7884,0.4899
101,대구,수성구,1.864,0.535,0.833,0.005,1.324,1.1268,0.7001
102,대구,중구,2.167,0.901,0.546,0.002,0.479,1.0208,0.6343
103,대전,대덕구,2.697,0.779,1.032,0.113,0.359,0.9971,0.6195
104,대전,동구,2.211,1.078,0.107,0.049,0.143,0.8273,0.5141
105,대전,서구,2.049,0.947,0.531,0.034,0.468,1.0111,0.6282
106,대전,유성구,0.786,0.631,0.194,0.02,1.831,0.9893,0.6147
107,대전,중구,2.316,1.074,0.994,0.0,0.057,0.798,0.4958
108,부산,강서구,0.345,1.52,0.052,0.008,0.487,0.6298,0.3913
109,부산,금정구,2.561,0.817,3.103,0.0,0.31,1.0369,0.6443
110,부산,기장군,1.24,1.02,12.841,0.005,0.45,1.1809,0.7337
111,부산,남구,0.892,1.431,0.14,0.0,0.31,0.7301,0.4536
112,부산,동구,0.32,1.393,0.065,0.0,0.732,0.7236,0.4496
113,부산,동래구,1.284,1.391,0.139,0.124,0.14,0.7045,0.4377
114,부산,부산진구,0.744,1.52,0.16,0.0,0.238,0.64,0.3976
115,부산,북구,1.255,1.383,0.206,0.014,0.171,0.7268,0.4516
116,부산,사상구,0.378,1.756,0.07,0.0,0.035,0.3068,0.1907
117,부산,사하구,4.532,0.328,0.031,0.0,0.085,0.5718,0.3553
118,부산,서구,0.971,0.095,20.406,0.004,2.067,1.0715,0.6658
119,부산,수영구,3.836,0.284,0.464,0.028,0.579,0.8679,0.5393
120,부산,연제구,1.904,0.782,0.198,0.0,0.867,1.0898,0.6771
121,부산,영도구,0.765,0.801,2.39,0.0,1.467,1.0816,0.672
122,부산,중구,1.167,1.315,0.026,0.003,0.354,0.8162,0.5071
123,부산,해운대구,1.321,0.394,0.833,0.0,1.916,1.0305,0.6403
124,서울,강남구,0.741,1.303,0.052,3.105,0.632,0.8504,0.5284
125,서울,강동구,1.139,1.479,0.388,0.012,0.063,0.6112,0.3798
126,서울,강북구,2.404,1.023,0.711,0.049,0.105,0.8358,0.5193
127,서울,강서구,1.373,0.872,0.184,0.001,1.032,1.0727,0.6665
128,서울,관악구,2.599,0.954,0.393,0.048,0.121,0.8405,0.5223
129,서울,광진구,2.191,0.632,0.36,0.0,0.96,1.1073,0.688
130,서울,구로구,1.017,0.666,0.148,0.0,1.627,1.0402,0.6463
131,서울,금천구,0.389,1.477,0.068,0.011,0.536,0.6742,0.4189
132,서울,노원구,1.616,0.752,34.852,0.014,0.023,1.122,0.6972
133,서울,도봉구,1.1,1.525,0.241,0.07,0.006,0.5212,0.3239
134,서울,동대문구,2.307,0.986,0.1,0.0,0.251,0.9025,0.5607
135,서울,동작구,2.657,0.94,0.255,0.0,0.116,0.8303,0.5159
136,서울,마포구,1.828,0.791,0.173,0.007,0.9,1.09,0.6773
137,서울,서대문구,1.49,1.306,0.13,0.003,0.169,0.7651,0.4754
138,서울,서초구,0.808,1.202,0.177,0.013,0.777,0.9139,0.5678
139,서울,성동구,3.658,0.638,0.106,0.007,0.054,0.7189,0.4467
140,서울,성북구,2.861,0.818,0.187,0.0,0.213,0.8894,0.5526
141,서울,송파구,0.266,1.522,0.176,8.03,0.513,0.6391,0.3971
142,서울,양천구,1.421,1.389,1.866,0.006,0.006,0.6566,0.408
143,서울,영등포구,0.7,1.2,0.038,0.006,0.851,0.8971,0.5574
144,서울,용산구,1.946,0.483,0.074,0.0,1.391,1.0865,0.6751
145,서울,은평구,0.587,1.689,0.078,0.0,0.028,0.3853,0.2394
146,서울,종로구,1.33,0.835,0.049,0.033,1.13,1.0711,0.6655
147,서울,중구,0.596,1.012,0.29,0.022,1.251,0.9568,0.5945
148,서울,중랑구,2.605,0.871,0.483,0.0,0.265,0.9345,0.5807
149,세종,세종,1.756,0.416,1.533,0.0,1.586,1.1123,0.6911
150,울산,남구,0.94,0.708,0.12,0.0,1.598,1.0309,0.6405
151,울산,동구,1.305,0.269,0.109,0.003,2.175,0.915,0.5685
152,울산,북구,1.492,0.398,1.687,0.998,1.774,1.0894,0.6769
153,울산,울주군,2.919,0.66,5.37,0.0,0.305,1.0679,0.6636
154,울산,중구,1.743,0.358,1.227,0.0,1.709,1.0755,0.6682
155,인천,강화군,2.768,0.846,5.158,0.308,0.066,0.9286,0.577
156,인천,계양구,2.044,0.772,0.277,0.0,0.798,1.0868,0.6752
157,인천,남동구,1.263,0.302,0.276,0.0,2.136,0.9407,0.5845
158,인천,동구,1.683,1.321,0.04,0.0,0.027,0.6548,0.4068
159,인천,미추홀구,0.648,1.654,0.075,0.151,0.055,0.4423,0.2748
160,인천,부평구,1.896,0.797,0.335,0.06,0.841,1.0921,0.6786
161,인천,서구,2.293,0.738,6.68,0.0,0.508,1.1829,0.735
162,인천,연수구,0.88,0.494,0.563,0.0,2.013,0.9826,0.6105
163,인천,옹진군,2.545,0.487,2.546,0.0,0.939,1.1478,0.7131
164,인천,중구,0.339,0.937,0.075,0.008,1.551,0.8826,0.5484
165,전남,강진군,2.344,0.703,14.843,0.0,0.287,1.2072,0.7501
166,전남,고흥군,2.292,0.934,0.065,0.0,0.356,0.9532,0.5923
167,전남,곡성군,2.663,0.379,35.496,0.0,0.039,1.09,0.6773
168,전남,광양시,1.027,0.253,0.276,0.404,2.37,0.8555,0.5316
169,전남,구례군,0.967,0.166,0.0,0.0,2.574,0.7371,0.458
170,전남,나주시,2.641,0.764,5.767,0.0,0.275,1.0758,0.6684
171,전남,담양군,2.386,0.259,1.952,0.0,1.471,1.0699,0.6648
172,전남,목포시,1.162,1.237,0.126,0.003,0.497,0.8915,0.5539
173,전남,무안군,0.636,1.634,2.216,0.0,0.032,0.4978,0.3093
174,전남,보성군,2.671,0.856,1.29,0.0,0.227,0.943,0.5859
175,전남,순천시,2.427,0.776,2.327,0.0,0.49,1.0857,0.6746
176,전남,신안군,0.6,0.241,0.268,0.0,2.656,0.719,0.4467
177,전남,여수시,2.095,0.247,0.616,0.0,1.713,1.0103,0.6277
178,전남,영광군,2.709,0.552,0.978,0.0,0.768,1.0864,0.675
179,전남,영암군,1.52,0.655,1.929,0.0,1.282,1.1584,0.7198
180,전남,완도군,1.45,0.585,0.047,0.0,1.511,1.0771,0.6693
181,전남,장성군,2.397,0.498,33.913,0.0,0.035,1.1228,0.6976
182,전남,장흥군,1.397,1.202,9.579,0.0,0.123,0.9648,0.5994
183,전남,진도군,1.824,0.477,0.029,0.0,1.479,1.0775,0.6695
184,전남,함평군,2.204,0.542,34.682,0.0,0.049,1.1486,0.7137
185,전남,해남군,1.466,0.596,42.514,0.0,0.161,1.2239,0.7604
186,전남,화순군,2.662,0.647,17.09,0.0,0.123,1.1266,0.7
187,전북,고창군,2.097,0.955,7.201,0.0,0.216,1.0632,0.6606
188,전북,군산시,2.043,0.716,0.799,0.029,0.884,1.1195,0.6956
189,전북,김제시,2.092,0.97,4.536,0.0,0.274,1.0419,0.6474
190,전북,남원시,0.793,0.44,0.044,0.0,2.179,0.9099,0.5653
191,전북,무주군,1.703,0.52,2.451,1.021,1.397,1.1703,0.7272
192,전북,부안군,2.392,0.71,0.417,0.0,0.692,1.074,0.6673
193,전북,순창군,2.697,0.623,5.97,0.0,0.49,1.1514,0.7154
194,전북,완주군,2.512,0.478,0.476,0.0,1.041,1.0916,0.6782
195,전북,익산시,1.258,0.556,1.893,0.042,1.625,1.1187,0.6951
196,전북,임실군,2.55,0.952,5.137,0.0,0.007,0.86,0.5344
197,전북,장수군,2.905,0.571,13.765,0.0,0.215,1.1332,0.7041
198,전북,전주시,2.144,0.706,0.305,0.039,0.856,1.0971,0.6817
199,전북,정읍시,1.944,0.744,3.109,0.0,0.822,1.1751,0.7301
200,전북,진안군,0.42,1.737,1.302,0.0,0.006,0.3397,0.2111
201,제주,서귀포시,1.052,0.23,6.113,8.903,2.198,1.0426,0.6478
202,제주,제주시,1.877,0.781,2.792,0.002,0.806,1.1629,0.7226
203,충남,계룡시,2.355,0.482,8.661,0.0,0.873,1.2581,0.7817
204,충남,공주시,2.847,0.741,2.675,0.0,0.286,1.0073,0.6259
205,충남,금산군,1.862,1.159,2.209,0.0,0.144,0.8773,0.5451
206,충남,논산시,2.077,0.806,2.824,0.0,0.637,1.1359,0.7058
207,충남,당진시,1.767,0.551,2.853,0.0,1.29,1.1841,0.7357
208,충남,보령시,1.766,0.575,1.684,0.0,1.284,1.1563,0.7185
209,충남,부여군,0.497,0.696,1.703,0.0,1.843,0.9817,0.61
210,충남,서산시,1.244,0.477,0.313,0.0,1.827,1.0345,0.6428
211,충남,서천군,2.589,0.87,1.088,0.0,0.259,0.954,0.5927
212,충남,아산시,1.696,0.923,2.451,0.026,0.669,1.1137,0.692
213,충남,예산군,2.616,0.633,2.904,0.0,0.617,1.1244,0.6987
214,충남,천안시,1.834,0.876,0.989,0.297,0.715,1.0911,0.678
215,충남,청양군,1.808,1.255,0.0,0.0,0.07,0.7184,0.4463
216,충남,태안군,1.307,0.381,7.509,0.0,1.74,1.1884,0.7384
217,충남,홍성군,2.701,0.878,0.196,0.0,0.203,0.8866,0.5509
218,충북,괴산군,2.954,0.779,0.67,0.0,0.213,0.9066,0.5633
219,충북,단양군,2.664,0.54,11.491,0.0,0.49,1.2222,0.7594
220,충북,보은군,1.968,0.847,15.766,0.0,0.227,1.1823,0.7346
221,충북,영동군,2.186,0.842,1.236,0.0,0.553,1.0705,0.6652
222,충북,옥천군,3.539,0.649,0.193,0.0,0.105,0.7761,0.4822
223,충북,음성군,1.5,0.509,13.279,0.0,1.207,1.3255,0.8236
224,충북,제천시,1.621,0.625,1.1,0.016,1.302,1.1374,0.7067
225,충북,증평군,1.993,0.711,21.938,0.0,0.268,1.2527,0.7784
226,충북,진천군,1.801,0.513,13.372,0.0,1.013,1.3314,0.8272
227,충북,청주시,1.89,0.772,0.703,0.01,0.879,1.1121,0.691
228,충북,충주시,2.034,0.646,5.407,0.0,0.875,1.2285,0.7633
